name,status,2017,2018,2019,2020,2021,2022,2023,2024
A,Funding,250472,354460,357473,365082,0,0,0,0
B,Funding,0,0,0,24936,244393,248013,205369,0
C,Funding,0,0,16000,250000,250000,250000,250000,0
D,Funding,0,0,0,200000,200000,200000,200000,0
E,Funding,0,0,0,77175,204553,257039,213637,215850
F,Funding,0,0,0,43000,0,0,0,0
G,Funding,0,0,400000,0,0,0,0,0
H,Funding,0,0,0,200000,0,0,0,0
I,Funding,10000,0,10000,0,0,0,0,0
J,Potential,0,0,0,200000,200000,200000,200000,200000
K,Potential,0,0,0,0,0,0,0,0
L,Potential,0,0,0,0,1000000,1000000,1000000,1000000
M,Potential,0,0,0,100000,100000,0,0,0
N,Potential,0,0,0,50000,50000,0,0,0
O,Potential,1670,4199,40260,54261,100000,100000,100000,100000
Total,None,263812,362858,863993,1668715,2498946,2355052,2269006,1615850
